ROI,MSLL,EV,SMSE,RMSE,Rho
lh_MeanThickness_thickness,-0.16820432707927752,0.28237067278648476,0.7179596311651042,0.10001683181772161,0.539444784861534
rh_MeanThickness_thickness,-0.23284979191995978,0.3710109345048441,0.6295407018647515,0.09859706553142658,0.6139092789706773
lh_bankssts_thickness,-0.09122132180006144,0.1671121349787471,0.8330883030367261,0.16077740092073695,0.40940045450833096
lh_caudalanteriorcingulate_thickness,-0.02340984631383773,0.04505658592875339,0.9551612863202452,0.2027046856293285,0.2136523002375294
lh_superiorfrontal_thickness,-0.1242931301421434,0.2248534801405706,0.7753853804006745,0.14592551025513983,0.48191130104478325
rh_superiorfrontal_thickness,-0.18004608658056614,0.3082232345675645,0.6926975015131436,0.1433486650654965,0.5566182328988036
