62.959616700000005	2	0	0	1
72.0	1	1	0	0
28.0	1	0	1	0
60.0	1	1	0	0
26.0	1	0	1	0
26.0	2	0	1	0
34.0	2	1	0	0
69.13347023	1	0	0	1
20.0	1	1	0	0
40.81314168	1	0	0	1
32.0	2	0	1	0
70.0	2	1	0	0
30.0	2	0	1	0
29.0	2	0	1	0
25.0	2	0	1	0
33.0	2	0	1	0
72.3504449	2	0	0	1
29.0	1	0	1	0
23.0	1	0	1	0
85.0	2	1	0	0
64.64613279	2	0	0	1
82.0	1	1	0	0
44.0	2	1	0	0
26.0	2	0	1	0
36.0	1	1	0	0
26.0	2	0	1	0
28.0	2	0	1	0
24.0	1	0	1	0
28.0	1	0	1	0
23.0	2	0	1	0
28.0	1	0	1	0
32.0	2	0	1	0
30.0	2	0	1	0
39.4661191	1	0	0	1
23.0	2	0	1	0
28.0	2	0	1	0
52.88706366	1	0	0	1
52.0	2	1	0	0
25.0	2	0	1	0
47.0	1	1	0	0
25.0	2	0	1	0
35.0	2	0	1	0
22.0	2	0	1	0
28.0	1	0	1	0
23.11019849	2	0	0	1
18.0	1	1	0	0
32.0	2	0	1	0
28.0	1	0	1	0
67.24161533	2	0	0	1
60.90622861	1	0	0	1
28.0	2	0	1	0
39.0	2	1	0	0
44.0	2	1	0	0
25.0	1	0	1	0
59.26351814	1	0	0	1
31.0	2	0	1	0
30.0	1	0	1	0
69.6776181	2	0	0	1
66.0	1	1	0	0
29.0	1	0	1	0
25.45106092	2	0	0	1
27.0	2	0	1	0
39.38398357	1	0	0	1
41.7412731	1	0	0	1
25.66187543	2	0	0	1
78.35728953	2	0	0	1
29.0	2	0	1	0
27.0	1	0	1	0
26.52156057	2	0	0	1
30.0	1	0	1	0
60.59685147	2	0	0	1
82.0	2	1	0	0
22.0	1	0	1	0
36.0	1	1	0	0
34.0	2	1	0	0
59.68514716	1	0	0	1
30.0	2	0	1	0
58.71594798	1	0	0	1
29.0	2	0	1	0
28.0	1	0	1	0
30.0	1	0	1	0
23.0	1	0	1	0
47.0	2	1	0	0
31.0	1	1	0	0
32.0	1	0	1	0
63.44490079999999	2	0	0	1
70.50239562	2	0	0	1
77.0	1	1	0	0
75.0	2	1	0	0
67.0	2	1	0	0
23.0	1	0	1	0
27.0	2	0	1	0
42.0	2	1	0	0
31.0	1	0	1	0
25.0	2	0	1	0
37.82888433	1	0	0	1
75.0	1	1	0	0
70.71047228	1	0	0	1
34.0	2	0	1	0
35.51540041	1	0	0	1
23.0	1	0	1	0
